fecha,producto,cantidad_cajas,precio_venta_caja,total_ventas
2025-03-16,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-16,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-17,Caja Huevos Granel Primera,3,35000,105000
2025-03-17,Caja Huevos Granel Extra,2,38000,76000
2025-03-17,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-17,Caja Formato 15x12 (docena),1,40000,40000
2025-03-17,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-17,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-18,Caja Huevos Granel Primera,2,35000,70000
2025-03-18,Caja Huevos Granel Extra,1,38000,38000
2025-03-18,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-18,Caja Formato 15x12 (docena),1,40000,40000
2025-03-18,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-18,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-19,Caja Huevos Granel Primera,2,35000,70000
2025-03-19,Caja Huevos Granel Extra,1,38000,38000
2025-03-19,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-19,Caja Formato 15x12 (docena),1,40000,40000
2025-03-19,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-19,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-20,Caja Huevos Granel Primera,2,35000,70000
2025-03-20,Caja Huevos Granel Extra,1,38000,38000
2025-03-20,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-20,Caja Formato 15x12 (docena),1,40000,40000
2025-03-20,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-20,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-21,Caja Huevos Granel Primera,3,35000,105000
2025-03-21,Caja Huevos Granel Extra,2,38000,76000
2025-03-21,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-21,Caja Formato 15x12 (docena),1,40000,40000
2025-03-21,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-21,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-22,Caja Huevos Granel Primera,1,35000,35000
2025-03-22,Caja Huevos Granel Extra,1,38000,38000
2025-03-22,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-22,Caja Formato 15x12 (docena),1,40000,40000
2025-03-22,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-22,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-23,Caja Huevos Granel Primera,1,35000,35000
2025-03-23,Caja Huevos Granel Extra,0,38000,0
2025-03-23,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-03-23,Caja Formato 15x12 (docena),0,40000,0
2025-03-23,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-23,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-24,Caja Huevos Granel Primera,2,35000,70000
2025-03-24,Caja Huevos Granel Extra,2,38000,76000
2025-03-24,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-24,Caja Formato 15x12 (docena),1,40000,40000
2025-03-24,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-24,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-25,Caja Huevos Granel Primera,3,35000,105000
2025-03-25,Caja Huevos Granel Extra,1,38000,38000
2025-03-25,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-25,Caja Formato 15x12 (docena),1,40000,40000
2025-03-25,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-25,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-26,Caja Huevos Granel Primera,2,35000,70000
2025-03-26,Caja Huevos Granel Extra,1,38000,38000
2025-03-26,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-26,Caja Formato 15x12 (docena),1,40000,40000
2025-03-26,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-26,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-27,Caja Huevos Granel Primera,2,35000,70000
2025-03-27,Caja Huevos Granel Extra,2,38000,76000
2025-03-27,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-27,Caja Formato 15x12 (docena),1,40000,40000
2025-03-27,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-27,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-28,Caja Huevos Granel Primera,2,35000,70000
2025-03-28,Caja Huevos Granel Extra,1,38000,38000
2025-03-28,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-28,Caja Formato 15x12 (docena),1,40000,40000
2025-03-28,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-28,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-29,Caja Huevos Granel Primera,2,35000,70000
2025-03-29,Caja Huevos Granel Extra,1,38000,38000
2025-03-29,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-29,Caja Formato 15x12 (docena),1,40000,40000
2025-03-29,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-29,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-30,Caja Huevos Granel Primera,2,35000,70000
2025-03-30,Caja Huevos Granel Extra,0,38000,0
2025-03-30,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-03-30,Caja Formato 15x12 (docena),0,40000,0
2025-03-30,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-30,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-31,Caja Huevos Granel Primera,2,35000,70000
2025-03-31,Caja Huevos Granel Extra,2,38000,76000
2025-03-31,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-31,Caja Formato 15x12 (docena),1,40000,40000
2025-03-31,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-31,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-01,Caja Huevos Granel Primera,2,35000,70000
2025-04-01,Caja Huevos Granel Extra,1,38000,38000
2025-04-01,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-01,Caja Formato 15x12 (docena),1,40000,40000
2025-04-01,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-01,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-02,Caja Huevos Granel Primera,2,35000,70000
2025-04-02,Caja Huevos Granel Extra,1,38000,38000
2025-04-02,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-02,Caja Formato 15x12 (docena),1,40000,40000
2025-04-02,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-02,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-03,Caja Huevos Granel Primera,2,35000,70000
2025-04-03,Caja Huevos Granel Extra,2,38000,76000
2025-04-03,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-03,Caja Formato 15x12 (docena),1,40000,40000
2025-04-03,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-03,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-04,Caja Huevos Granel Primera,2,35000,70000
2025-04-04,Caja Huevos Granel Extra,2,38000,76000
2025-04-04,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-04,Caja Formato 15x12 (docena),1,40000,40000
2025-04-04,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-04,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-05,Caja Huevos Granel Primera,2,35000,70000
2025-04-05,Caja Huevos Granel Extra,1,38000,38000
2025-04-05,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-05,Caja Formato 15x12 (docena),1,40000,40000
2025-04-05,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-05,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-06,Caja Huevos Granel Primera,1,35000,35000
2025-04-06,Caja Huevos Granel Extra,1,38000,38000
2025-04-06,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-04-06,Caja Formato 15x12 (docena),0,40000,0
2025-04-06,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-06,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-07,Caja Huevos Granel Primera,1,35000,35000
2025-04-07,Caja Huevos Granel Extra,1,38000,38000
2025-04-07,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-07,Caja Formato 15x12 (docena),1,40000,40000
2025-04-07,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-07,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-08,Caja Huevos Granel Primera,4,35000,140000
2025-04-08,Caja Huevos Granel Extra,1,38000,38000
2025-04-08,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-08,Caja Formato 15x12 (docena),1,40000,40000
2025-04-08,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-08,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-09,Caja Huevos Granel Primera,3,35000,105000
2025-04-09,Caja Huevos Granel Extra,2,38000,76000
2025-04-09,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-09,Caja Formato 15x12 (docena),1,40000,40000
2025-04-09,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-09,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-10,Caja Huevos Granel Primera,2,35000,70000
2025-04-10,Caja Huevos Granel Extra,1,38000,38000
2025-04-10,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-10,Caja Formato 15x12 (docena),1,40000,40000
2025-04-10,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-10,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-11,Caja Huevos Granel Primera,2,35000,70000
2025-04-11,Caja Huevos Granel Extra,1,38000,38000
2025-04-11,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-11,Caja Formato 15x12 (docena),1,40000,40000
2025-04-11,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-11,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-12,Caja Huevos Granel Primera,1,35000,35000
2025-04-12,Caja Huevos Granel Extra,1,38000,38000
2025-04-12,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-12,Caja Formato 15x12 (docena),1,40000,40000
2025-04-12,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-12,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-13,Caja Huevos Granel Primera,1,35000,35000
2025-04-13,Caja Huevos Granel Extra,0,38000,0
2025-04-13,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-04-13,Caja Formato 15x12 (docena),0,40000,0
2025-04-13,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-13,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-14,Caja Huevos Granel Primera,2,35000,70000
2025-04-14,Caja Huevos Granel Extra,1,38000,38000
2025-04-14,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-14,Caja Formato 15x12 (docena),1,40000,40000
2025-04-14,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-14,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-15,Caja Huevos Granel Primera,2,35000,70000
2025-04-15,Caja Huevos Granel Extra,1,38000,38000
2025-04-15,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-15,Caja Formato 15x12 (docena),1,40000,40000
2025-04-15,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-15,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-16,Caja Huevos Granel Primera,1,35000,35000
2025-04-16,Caja Huevos Granel Extra,1,38000,38000
2025-04-16,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-16,Caja Formato 15x12 (docena),1,40000,40000
2025-04-16,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-16,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-17,Caja Huevos Granel Primera,1,35000,35000
2025-04-17,Caja Huevos Granel Extra,1,38000,38000
2025-04-17,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-17,Caja Formato 15x12 (docena),1,40000,40000
2025-04-17,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-17,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-18,Caja Huevos Granel Primera,3,35000,105000
2025-04-18,Caja Huevos Granel Extra,2,38000,76000
2025-04-18,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-18,Caja Formato 15x12 (docena),1,40000,40000
2025-04-18,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-18,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-19,Caja Huevos Granel Primera,1,35000,35000
2025-04-19,Caja Huevos Granel Extra,1,38000,38000
2025-04-19,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-19,Caja Formato 15x12 (docena),1,40000,40000
2025-04-19,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-19,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-20,Caja Huevos Granel Primera,1,35000,35000
2025-04-20,Caja Huevos Granel Extra,1,38000,38000
2025-04-20,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-04-20,Caja Formato 15x12 (docena),0,40000,0
2025-04-20,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-20,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-21,Caja Huevos Granel Primera,2,35000,70000
2025-04-21,Caja Huevos Granel Extra,2,38000,76000
2025-04-21,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-21,Caja Formato 15x12 (docena),1,40000,40000
2025-04-21,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-21,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-22,Caja Huevos Granel Primera,2,35000,70000
2025-04-22,Caja Huevos Granel Extra,1,38000,38000
2025-04-22,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-22,Caja Formato 15x12 (docena),1,40000,40000
2025-04-22,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-22,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-23,Caja Huevos Granel Primera,1,35000,35000
2025-04-23,Caja Huevos Granel Extra,1,38000,38000
2025-04-23,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-23,Caja Formato 15x12 (docena),1,40000,40000
2025-04-23,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-23,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-24,Caja Huevos Granel Primera,2,35000,70000
2025-04-24,Caja Huevos Granel Extra,1,38000,38000
2025-04-24,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-24,Caja Formato 15x12 (docena),1,40000,40000
2025-04-24,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-24,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-25,Caja Huevos Granel Primera,2,35000,70000
2025-04-25,Caja Huevos Granel Extra,1,38000,38000
2025-04-25,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-25,Caja Formato 15x12 (docena),1,40000,40000
2025-04-25,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-25,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-26,Caja Huevos Granel Primera,2,35000,70000
2025-04-26,Caja Huevos Granel Extra,1,38000,38000
2025-04-26,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-26,Caja Formato 15x12 (docena),1,40000,40000
2025-04-26,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-26,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-27,Caja Huevos Granel Primera,2,35000,70000
2025-04-27,Caja Huevos Granel Extra,1,38000,38000
2025-04-27,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-27,Caja Formato 15x12 (docena),0,40000,0
2025-04-27,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-27,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-28,Caja Huevos Granel Primera,4,35000,140000
2025-04-28,Caja Huevos Granel Extra,1,38000,38000
2025-04-28,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-28,Caja Formato 15x12 (docena),1,40000,40000
2025-04-28,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-28,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-29,Caja Huevos Granel Primera,2,35000,70000
2025-04-29,Caja Huevos Granel Extra,1,38000,38000
2025-04-29,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-29,Caja Formato 15x12 (docena),1,40000,40000
2025-04-29,Caja Formato 20 Extra Bonito,1,50000,50000
2025-04-29,Caja Formato 30 Mediano Bonito,0,54000,0
2025-04-30,Caja Huevos Granel Primera,1,35000,35000
2025-04-30,Caja Huevos Granel Extra,1,38000,38000
2025-04-30,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-04-30,Caja Formato 15x12 (docena),1,40000,40000
2025-04-30,Caja Formato 20 Extra Bonito,0,50000,0
2025-04-30,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-01,Caja Huevos Granel Primera,2,35000,70000
2025-05-01,Caja Huevos Granel Extra,1,38000,38000
2025-05-01,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-01,Caja Formato 15x12 (docena),1,40000,40000
2025-05-01,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-01,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-02,Caja Huevos Granel Primera,2,35000,70000
2025-05-02,Caja Huevos Granel Extra,2,38000,76000
2025-05-02,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-02,Caja Formato 15x12 (docena),1,40000,40000
2025-05-02,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-02,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-03,Caja Huevos Granel Primera,2,35000,70000
2025-05-03,Caja Huevos Granel Extra,1,38000,38000
2025-05-03,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-03,Caja Formato 15x12 (docena),1,40000,40000
2025-05-03,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-03,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-04,Caja Huevos Granel Primera,1,35000,35000
2025-05-04,Caja Huevos Granel Extra,1,38000,38000
2025-05-04,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-05-04,Caja Formato 15x12 (docena),0,40000,0
2025-05-04,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-04,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-05,Caja Huevos Granel Primera,3,35000,105000
2025-05-05,Caja Huevos Granel Extra,2,38000,76000
2025-05-05,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-05,Caja Formato 15x12 (docena),1,40000,40000
2025-05-05,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-05,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-06,Caja Huevos Granel Primera,2,35000,70000
2025-05-06,Caja Huevos Granel Extra,1,38000,38000
2025-05-06,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-06,Caja Formato 15x12 (docena),1,40000,40000
2025-05-06,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-06,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-07,Caja Huevos Granel Primera,2,35000,70000
2025-05-07,Caja Huevos Granel Extra,1,38000,38000
2025-05-07,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-07,Caja Formato 15x12 (docena),1,40000,40000
2025-05-07,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-07,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-08,Caja Huevos Granel Primera,2,35000,70000
2025-05-08,Caja Huevos Granel Extra,1,38000,38000
2025-05-08,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-08,Caja Formato 15x12 (docena),1,40000,40000
2025-05-08,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-08,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-05-09,Caja Huevos Granel Primera,2,35000,70000
2025-05-09,Caja Huevos Granel Extra,1,38000,38000
2025-05-09,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-09,Caja Formato 15x12 (docena),1,40000,40000
2025-05-09,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-09,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-10,Caja Huevos Granel Primera,2,35000,70000
2025-05-10,Caja Huevos Granel Extra,1,38000,38000
2025-05-10,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-10,Caja Formato 15x12 (docena),1,40000,40000
2025-05-10,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-10,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-11,Caja Huevos Granel Primera,1,35000,35000
2025-05-11,Caja Huevos Granel Extra,1,38000,38000
2025-05-11,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-11,Caja Formato 15x12 (docena),0,40000,0
2025-05-11,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-11,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-12,Caja Huevos Granel Primera,2,35000,70000
2025-05-12,Caja Huevos Granel Extra,2,38000,76000
2025-05-12,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-12,Caja Formato 15x12 (docena),1,40000,40000
2025-05-12,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-12,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-13,Caja Huevos Granel Primera,2,35000,70000
2025-05-13,Caja Huevos Granel Extra,2,38000,76000
2025-05-13,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-13,Caja Formato 15x12 (docena),1,40000,40000
2025-05-13,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-13,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-14,Caja Huevos Granel Primera,3,35000,105000
2025-05-14,Caja Huevos Granel Extra,1,38000,38000
2025-05-14,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-14,Caja Formato 15x12 (docena),1,40000,40000
2025-05-14,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-14,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-15,Caja Huevos Granel Primera,2,35000,70000
2025-05-15,Caja Huevos Granel Extra,1,38000,38000
2025-05-15,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-15,Caja Formato 15x12 (docena),1,40000,40000
2025-05-15,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-15,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-16,Caja Huevos Granel Primera,2,35000,70000
2025-05-16,Caja Huevos Granel Extra,2,38000,76000
2025-05-16,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-16,Caja Formato 15x12 (docena),1,40000,40000
2025-05-16,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-16,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-17,Caja Huevos Granel Primera,2,35000,70000
2025-05-17,Caja Huevos Granel Extra,1,38000,38000
2025-05-17,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-17,Caja Formato 15x12 (docena),1,40000,40000
2025-05-17,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-17,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-18,Caja Huevos Granel Primera,2,35000,70000
2025-05-18,Caja Huevos Granel Extra,0,38000,0
2025-05-18,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-05-18,Caja Formato 15x12 (docena),0,40000,0
2025-05-18,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-18,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-19,Caja Huevos Granel Primera,2,35000,70000
2025-05-19,Caja Huevos Granel Extra,2,38000,76000
2025-05-19,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-19,Caja Formato 15x12 (docena),1,40000,40000
2025-05-19,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-19,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-20,Caja Huevos Granel Primera,3,35000,105000
2025-05-20,Caja Huevos Granel Extra,1,38000,38000
2025-05-20,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-20,Caja Formato 15x12 (docena),1,40000,40000
2025-05-20,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-20,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-21,Caja Huevos Granel Primera,2,35000,70000
2025-05-21,Caja Huevos Granel Extra,1,38000,38000
2025-05-21,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-21,Caja Formato 15x12 (docena),1,40000,40000
2025-05-21,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-21,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-22,Caja Huevos Granel Primera,2,35000,70000
2025-05-22,Caja Huevos Granel Extra,2,38000,76000
2025-05-22,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-22,Caja Formato 15x12 (docena),1,40000,40000
2025-05-22,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-22,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-05-23,Caja Huevos Granel Primera,3,35000,105000
2025-05-23,Caja Huevos Granel Extra,1,38000,38000
2025-05-23,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-23,Caja Formato 15x12 (docena),1,40000,40000
2025-05-23,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-23,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-24,Caja Huevos Granel Primera,1,35000,35000
2025-05-24,Caja Huevos Granel Extra,1,38000,38000
2025-05-24,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-24,Caja Formato 15x12 (docena),1,40000,40000
2025-05-24,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-24,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-25,Caja Huevos Granel Primera,1,35000,35000
2025-05-25,Caja Huevos Granel Extra,1,38000,38000
2025-05-25,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-05-25,Caja Formato 15x12 (docena),0,40000,0
2025-05-25,Caja Formato 20 Extra Bonito,0,50000,0
2025-05-25,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-26,Caja Huevos Granel Primera,2,35000,70000
2025-05-26,Caja Huevos Granel Extra,1,38000,38000
2025-05-26,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-26,Caja Formato 15x12 (docena),1,40000,40000
2025-05-26,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-26,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-05-27,Caja Huevos Granel Primera,2,35000,70000
2025-05-27,Caja Huevos Granel Extra,2,38000,76000
2025-05-27,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-27,Caja Formato 15x12 (docena),1,40000,40000
2025-05-27,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-27,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-28,Caja Huevos Granel Primera,2,35000,70000
2025-05-28,Caja Huevos Granel Extra,2,38000,76000
2025-05-28,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-28,Caja Formato 15x12 (docena),1,40000,40000
2025-05-28,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-28,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-29,Caja Huevos Granel Primera,2,35000,70000
2025-05-29,Caja Huevos Granel Extra,1,38000,38000
2025-05-29,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-29,Caja Formato 15x12 (docena),1,40000,40000
2025-05-29,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-29,Caja Formato 30 Mediano Bonito,0,54000,0
2025-05-30,Caja Huevos Granel Primera,2,35000,70000
2025-05-30,Caja Huevos Granel Extra,1,38000,38000
2025-05-30,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-05-30,Caja Formato 15x12 (docena),1,40000,40000
2025-05-30,Caja Formato 20 Extra Bonito,1,50000,50000
2025-05-30,Caja Formato 30 Mediano Bonito,0,54000,0
